Zeph Chair–With Arms,Dimensions,741mm–885mm,614mm,479mm,432mm,372mm–512mm
Aeron Chair–B Size–Fully Adjustable Arms,Dimensions,933mm–1045mm,719mm–772mm,698mm–719mm,432mm,376mm–579mm
Caper Stacking Chair–Fixed Arms,Dimensions,813mm,616mm,489mm–800mm,419mm–444mm,444mm–457mm
Cosm Chair–High Back–Leaf Arms,Dimensions,1143mm–1311mm,744mm,678mm,404mm,376mm–544mm
Eames Aluminum Group Chair–Management–With Arms,Dimensions,775mm–946mm,584mm,457mm,413mm–565mm,none
Setu Chair–5-Star Base–Ribbon Arms,Dimensions,950mm–980mm,658mm,658mm,381mm,399mm–551mm
Eames Soft Pad Chair–Executive,Details,Chairs,Miller,none,none,none
Eames Molded Plastic Armchair–Dowel Base–Nonupholstered,Details,Chairs,Miller,none,none,none
Eames Molded Fiberglass Armchair–Dowel Base–Nonupholstered,Dimensions,806mm,635mm,597mm,451mm,673mm
Mirra 2 Chair–Suspension Back–Adjustable Arms,Dimensions,1060mm–1111mm,673mm–787mm,673mm,413mm–457mm,375mm–565mm
Sayl Chair–Suspension Mid Back–Fully Adjustable Arms,Dimensions,959mm–1035mm,679mm,660mm,406mm–457mm,381mm–559mm
Zeph Side Chair–Armless,Details,Chairs,Miller,none,none,none
Zeph Side Chair–With Arms,Details,Chairs,Miller,none,none,none
Zeph Side Chair–With Arms,Details,Chairs,Miller,none,none,none
Asari Chair–Mid Back–Height Adjustable Arms,Dimensions,774mm–959mm,756mm,756mm,425mm,330mm–538mm
Asari Chair–Mid Back–Fixed Arms,Dimensions,774mm–959mm,756mm,756mm,425mm,330mm–538mm
Asari Chair–Mid Back–Armless,Dimensions,774mm–959mm,756mm,756mm,425mm,330mm–538mm
Asari Chair–High Back–Height Adjustable Arms,Dimensions,970mm–1155mm,756mm,756mm,425mm,330mm–538mm
Asari Chair–High Back–Fixed Arms,Dimensions,970mm–1155mm,756mm,756mm,425mm,330mm–538mm
Asari Chair–High Back–Armless,Dimensions,970mm–1155mm,756mm,756mm,425mm,330mm–538mm
Bumper Side Chair–4-Star Base–Low Arms,Dimensions,843mm,586mm,604mm,453mm,454mm
Bumper Side Chair–4-Leg Base–Low Arms,Dimensions,824mm,586mm,624mm,453mm,454mm
Bumper Chair–Low Arms,Dimensions,800mm–876mm,586mm,616mm,453mm,422mm–499mm
Zeph Chair–Armless,Dimensions,741mm–885mm,543mm,479mm,432mm,372mm–512mm
Comma Chair–With Arms–Wood Seat,Dimensions,725mm,631mm,508mm,476mm,461mm
Comma Chair–With Arms–Upholstered Seat,Details,Chairs,Miller,none,none,none
Comma Chair–Armless–Wood Seat,Dimensions,751mm,488mm,466mm,438mm,461mm
Comma Chair–Armless–Upholstered Seat,Details,Chairs,Miller,none,none,none
Betwixt Chair–Armless–Wood,Dimensions,743mm,470mm,483mm,432mm,476mm
Betwixt Chair–With Arms–Cork,Dimensions,743mm,610mm,483mm,432mm,476mm
Betwixt Chair–With Arms–Upholstered,Dimensions,743mm,610mm,483mm,432mm,476mm
Betwixt Chair–With Arms–Wood,Dimensions,743mm,610mm,483mm,432mm,476mm
Betwixt Chair–Armless–Cork,Dimensions,743mm,470mm,483mm,432mm,476mm
Betwixt Chair–Armless–Upholstered,Dimensions,743mm,470mm,483mm,483mm,476mm
Ruby Wood Chair–Nonupholstered,Dimensions,800mm,610mm,533mm,444mm,none
Ruby Wood Chair–Upholstered Seat Pad,Details,Chairs,NaughtOne,none,none,none
Ruby Side Chair–Sled Base–Nonupholstered,Dimensions,787mm,610mm,533mm,432mm,none
Ruby Side Chair–Sled Base–Upholstered Seat Pad,Details,Chairs,NaughtOne,none,none,none
Ruby Side Chair–4-Star Base–Nonupholstered,Dimensions,800mm,610mm,533mm,432mm,none
Ruby Side Chair–4-Leg Base–Nonupholstered,Dimensions,787mm,610mm,546mm,432mm,none
Ruby Side Chair–Dowel Base–Nonupholstered,Dimensions,787mm,610mm,533mm,432mm,none
Ruby Side Chair–4-Star Base–Upholstered Seat Pad,Details,Chairs,NaughtOne,none,none,none
Ruby Side Chair–4-Leg Base–Upholstered Seat Pad,Details,Chairs,NaughtOne,none,none,none
Ruby Side Chair–Dowel Base–Upholstered Seat Pad,Details,Chairs,NaughtOne,none,none,none
Ruby Chair–5-Star Base–Fixed Height–Upholstered Seat Pad,Details,Chairs,NaughtOne,none,none,none
